title,text,href
sklearn.datasets.fetch_california_housing,datasets.fetch_california_housing,generated/sklearn.datasets.fetch_california_housing.html#sklearn.datasets.fetch_california_housing
sklearn.datasets.fetch_covtype,datasets.fetch_covtype,generated/sklearn.datasets.fetch_covtype.html#sklearn.datasets.fetch_covtype
sklearn.datasets.fetch_kddcup99,datasets.fetch_kddcup99,generated/sklearn.datasets.fetch_kddcup99.html#sklearn.datasets.fetch_kddcup99
sklearn.datasets.fetch_lfw_pairs,datasets.fetch_lfw_pairs,generated/sklearn.datasets.fetch_lfw_pairs.html#sklearn.datasets.fetch_lfw_pairs
sklearn.datasets.fetch_lfw_people,datasets.fetch_lfw_people,generated/sklearn.datasets.fetch_lfw_people.html#sklearn.datasets.fetch_lfw_people
sklearn.datasets.fetch_olivetti_faces,datasets.fetch_olivetti_faces,generated/sklearn.datasets.fetch_olivetti_faces.html#sklearn.datasets.fetch_olivetti_faces
sklearn.datasets.fetch_openml,datasets.fetch_openml,generated/sklearn.datasets.fetch_openml.html#sklearn.datasets.fetch_openml
sklearn.datasets.fetch_rcv1,datasets.fetch_rcv1,generated/sklearn.datasets.fetch_rcv1.html#sklearn.datasets.fetch_rcv1
sklearn.datasets.fetch_species_distributions,datasets.fetch_species_distributions,generated/sklearn.datasets.fetch_species_distributions.html#sklearn.datasets.fetch_species_distributions
sklearn.datasets.get_data_home,datasets.get_data_home,generated/sklearn.datasets.get_data_home.html#sklearn.datasets.get_data_home
sklearn.datasets.load_boston,datasets.load_boston,generated/sklearn.datasets.load_boston.html#sklearn.datasets.load_boston
sklearn.datasets.load_breast_cancer,datasets.load_breast_cancer,generated/sklearn.datasets.load_breast_cancer.html#sklearn.datasets.load_breast_cancer
sklearn.datasets.load_diabetes,datasets.load_diabetes,generated/sklearn.datasets.load_diabetes.html#sklearn.datasets.load_diabetes
sklearn.datasets.load_digits,datasets.load_digits,generated/sklearn.datasets.load_digits.html#sklearn.datasets.load_digits
sklearn.datasets.load_files,datasets.load_files,generated/sklearn.datasets.load_files.html#sklearn.datasets.load_files
sklearn.datasets.load_iris,datasets.load_iris,generated/sklearn.datasets.load_iris.html#sklearn.datasets.load_iris
sklearn.datasets.load_linnerud,datasets.load_linnerud,generated/sklearn.datasets.load_linnerud.html#sklearn.datasets.load_linnerud
sklearn.datasets.load_sample_image,datasets.load_sample_image,generated/sklearn.datasets.load_sample_image.html#sklearn.datasets.load_sample_image
sklearn.datasets.load_sample_images,datasets.load_sample_images,generated/sklearn.datasets.load_sample_images.html#sklearn.datasets.load_sample_images
sklearn.datasets.load_svmlight_file,datasets.load_svmlight_file,generated/sklearn.datasets.load_svmlight_file.html#sklearn.datasets.load_svmlight_file
sklearn.datasets.load_svmlight_files,datasets.load_svmlight_files,generated/sklearn.datasets.load_svmlight_files.html#sklearn.datasets.load_svmlight_files
sklearn.datasets.load_wine,datasets.load_wine,generated/sklearn.datasets.load_wine.html#sklearn.datasets.load_wine
sklearn.datasets.make_biclusters,datasets.make_biclusters,generated/sklearn.datasets.make_biclusters.html#sklearn.datasets.make_biclusters
sklearn.datasets.make_blobs,datasets.make_blobs,generated/sklearn.datasets.make_blobs.html#sklearn.datasets.make_blobs
sklearn.datasets.make_checkerboard,datasets.make_checkerboard,generated/sklearn.datasets.make_checkerboard.html#sklearn.datasets.make_checkerboard
sklearn.datasets.make_circles,datasets.make_circles,generated/sklearn.datasets.make_circles.html#sklearn.datasets.make_circles
sklearn.datasets.make_classification,datasets.make_classification,generated/sklearn.datasets.make_classification.html#sklearn.datasets.make_classification
sklearn.datasets.make_friedman1,datasets.make_friedman1,generated/sklearn.datasets.make_friedman1.html#sklearn.datasets.make_friedman1
sklearn.datasets.make_friedman2,datasets.make_friedman2,generated/sklearn.datasets.make_friedman2.html#sklearn.datasets.make_friedman2
sklearn.datasets.make_friedman3,datasets.make_friedman3,generated/sklearn.datasets.make_friedman3.html#sklearn.datasets.make_friedman3
sklearn.datasets.make_gaussian_quantiles,datasets.make_gaussian_quantiles,generated/sklearn.datasets.make_gaussian_quantiles.html#sklearn.datasets.make_gaussian_quantiles
sklearn.datasets.make_hastie_10_2,datasets.make_hastie_10_2,generated/sklearn.datasets.make_hastie_10_2.html#sklearn.datasets.make_hastie_10_2
sklearn.datasets.make_low_rank_matrix,datasets.make_low_rank_matrix,generated/sklearn.datasets.make_low_rank_matrix.html#sklearn.datasets.make_low_rank_matrix
sklearn.datasets.make_moons,datasets.make_moons,generated/sklearn.datasets.make_moons.html#sklearn.datasets.make_moons
sklearn.datasets.make_multilabel_classification,datasets.make_multilabel_classification,generated/sklearn.datasets.make_multilabel_classification.html#sklearn.datasets.make_multilabel_classification
sklearn.datasets.make_regression,datasets.make_regression,generated/sklearn.datasets.make_regression.html#sklearn.datasets.make_regression
sklearn.datasets.make_s_curve,datasets.make_s_curve,generated/sklearn.datasets.make_s_curve.html#sklearn.datasets.make_s_curve
sklearn.datasets.make_sparse_coded_signal,datasets.make_sparse_coded_signal,generated/sklearn.datasets.make_sparse_coded_signal.html#sklearn.datasets.make_sparse_coded_signal
sklearn.datasets.make_sparse_spd_matrix,datasets.make_sparse_spd_matrix,generated/sklearn.datasets.make_sparse_spd_matrix.html#sklearn.datasets.make_sparse_spd_matrix
sklearn.datasets.make_sparse_uncorrelated,datasets.make_sparse_uncorrelated,generated/sklearn.datasets.make_sparse_uncorrelated.html#sklearn.datasets.make_sparse_uncorrelated
sklearn.datasets.make_spd_matrix,datasets.make_spd_matrix,generated/sklearn.datasets.make_spd_matrix.html#sklearn.datasets.make_spd_matrix
sklearn.datasets.make_swiss_roll,datasets.make_swiss_roll,generated/sklearn.datasets.make_swiss_roll.html#sklearn.datasets.make_swiss_roll
sklearn.decomposition,sklearn.decomposition,#module-sklearn.decomposition
sklearn.decomposition,sklearn.decomposition,#module-sklearn.decomposition
